epoch,out_0,out_1,step,train_loss
24,-0.037604816257953644,-0.03967458754777908,49,1.080923318862915
49,-0.022897981107234955,-0.02465580776333809,99,1.049919605255127
74,-0.009970834478735924,-0.011540164239704609,149,1.023213505744934
99,0.0024399945978075266,0.0009472696110606194,199,0.9981063008308411
124,0.016168033704161644,0.014647806994616985,249,0.9709190130233765
149,0.034276850521564484,0.0326668843626976,299,0.9357333779335022
174,0.0619465634226799,0.06034180521965027,349,0.8829574584960938
199,0.10587658733129501,0.10485322028398514,399,0.8012877702713013
224,0.16931301355361938,0.17040632665157318,449,0.6882256269454956
249,0.24457819759845734,0.24997280538082123,499,0.5625407695770264
274,0.315166175365448,0.32612231373786926,549,0.4541111886501312
299,0.3699824810028076,0.3862139880657196,599,0.3767332434654236
324,0.4085092544555664,0.4290810227394104,649,0.32594847679138184
349,0.4347518980503082,0.45879849791526794,699,0.2928990423679352
374,0.452641099691391,0.4795362055301666,749,0.27088260650634766
399,0.4649624824523926,0.4942828118801117,799,0.2557498514652252
424,0.47353503108024597,0.5049973130226135,849,0.24502766132354736
449,0.47953560948371887,0.5129492878913879,899,0.23721839487552643
474,0.4837367832660675,0.5189723372459412,949,0.23138761520385742
499,0.48665651679039,0.5236257314682007,999,0.22693245112895966
524,0.48864981532096863,0.5272928476333618,1049,0.22345204651355743
549,0.4899643361568451,0.5302417278289795,1099,0.2206728309392929
574,0.4907761514186859,0.5326628684997559,1149,0.21840399503707886
599,0.4912116229534149,0.5346935391426086,1199,0.2165101021528244
624,0.4913630783557892,0.5364345908164978,1249,0.2148928940296173
649,0.49129804968833923,0.5379601120948792,1299,0.2134808599948883
674,0.49106693267822266,0.5393255949020386,1349,0.2122209072113037
699,0.4907066226005554,0.5405724048614502,1399,0.21107371151447296
724,0.49024510383605957,0.541732132434845,1449,0.21000944077968597
749,0.4897030293941498,0.5428288578987122,1499,0.2090054601430893
774,0.48909589648246765,0.5438806414604187,1549,0.2080448716878891
799,0.4884355068206787,0.5449020266532898,1599,0.20711416006088257
824,0.4877302050590515,0.5459039807319641,1649,0.20620319247245789
849,0.48698633909225464,0.5468950867652893,1699,0.20530405640602112
874,0.4862086772918701,0.5478823781013489,1749,0.2044103443622589
899,0.48540040850639343,0.5488714575767517,1799,0.20351696014404297
924,0.48456379771232605,0.5498664975166321,1849,0.20262016355991364
949,0.48370006680488586,0.5508712530136108,1899,0.20171663165092468
974,0.48281019926071167,0.5518890619277954,1949,0.20080341398715973
999,0.4818944036960602,0.5529221892356873,1999,0.19987857341766357
1024,0.480952650308609,0.5539734363555908,2049,0.19893969595432281
1049,0.4799844026565552,0.5550444722175598,2099,0.1979854255914688
1074,0.478988915681839,0.5561371445655823,2149,0.1970142275094986
1099,0.4779653251171112,0.5572535395622253,2199,0.19602443277835846
1124,0.47691258788108826,0.5583951473236084,2249,0.1950148493051529
1149,0.47582921385765076,0.5595634579658508,2299,0.19398434460163116
1174,0.4747138023376465,0.5607603788375854,2349,0.19293144345283508
1199,0.4735647737979889,0.5619873404502869,2399,0.19185508787631989
1224,0.47238025069236755,0.5632460117340088,2449,0.19075404107570648
1249,0.47115829586982727,0.5645378828048706,2499,0.1896272599697113
1274,0.4698970317840576,0.5658647418022156,2549,0.1884734183549881
1299,0.4685939848423004,0.5672283172607422,2599,0.18729132413864136
1324,0.4672468900680542,0.5686303973197937,2649,0.186079740524292
1349,0.4658533036708832,0.5700729489326477,2699,0.18483726680278778
1374,0.46441036462783813,0.571557879447937,2749,0.18356265127658844
1399,0.4629150331020355,0.5730871558189392,2799,0.1822545826435089
1424,0.4613644480705261,0.5746629238128662,2849,0.18091163039207458
1449,0.45975518226623535,0.576287567615509,2899,0.1795322299003601
1474,0.4580836892127991,0.5779633522033691,2949,0.17811493575572968
1499,0.4563460946083069,0.5796927809715271,2999,0.17665815353393555
1524,0.4545385241508484,0.5814785361289978,3049,0.175160214304924
1549,0.4526565968990326,0.5833235383033752,3099,0.17361927032470703
1574,0.450695663690567,0.5852305293083191,3149,0.17203371226787567
1599,0.4486504793167114,0.5872028470039368,3199,0.17040148377418518
1624,0.446515828371048,0.5892435908317566,3249,0.16872082650661469
1649,0.44428619742393494,0.5913564562797546,3299,0.1669895499944687
1674,0.44195497035980225,0.5935450792312622,3349,0.16520559787750244
1699,0.4395155906677246,0.5958134531974792,3399,0.16336676478385925
1724,0.4369610548019409,0.5981658101081848,3449,0.1614707112312317
1749,0.43428346514701843,0.6006065607070923,3499,0.1595151126384735
1774,0.4314746856689453,0.603140652179718,3549,0.1574973464012146
1799,0.4285253584384918,0.6057727932929993,3599,0.15541508793830872
1824,0.4254262447357178,0.6085091233253479,3649,0.1532651036977768
1849,0.4221667945384979,0.611354649066925,3699,0.15104520320892334
1874,0.4187355637550354,0.6143160462379456,3749,0.1487521082162857
1899,0.41512057185173035,0.6173998117446899,3799,0.1463828980922699
1924,0.41130873560905457,0.6206126809120178,3849,0.14393474161624908
1949,0.4072858393192291,0.6239621639251709,3899,0.14140444993972778
1974,0.4030367434024811,0.6274560689926147,3949,0.13878898322582245
1999,0.3985450565814972,0.6311028599739075,3999,0.13608509302139282
